tamanho,conjunto,algoritmo,iteracao,tempo
20000,crescente,heapSort,1,0.093984
20000,crescente,heapSort,2,0.093463
20000,crescente,heapSort,3,0.093918
20000,crescente,heapSort,4,0.093962
20000,crescente,heapSort,5,0.094478
20000,crescente,heapSort,6,0.094989
20000,crescente,heapSort,7,0.094866
20000,crescente,heapSort,8,0.094124
20000,crescente,heapSort,9,0.094240
20000,crescente,heapSort,10,0.095968
20000,crescente,heapSort,11,0.094716
20000,crescente,heapSort,12,0.094332
20000,crescente,heapSort,13,0.093867
20000,crescente,heapSort,14,0.094036
20000,crescente,heapSort,15,0.097012
20000,crescente,heapSort,16,0.093761
20000,crescente,heapSort,17,0.094347
20000,crescente,heapSort,18,0.094593
20000,crescente,heapSort,19,0.094471
20000,crescente,heapSort,20,0.094773
20000,crescente,heapSort,21,0.095529
20000,crescente,heapSort,22,0.097752
20000,crescente,heapSort,23,0.093825
20000,crescente,heapSort,24,0.093911
20000,crescente,heapSort,25,0.095805
20000,crescente,heapSort,26,0.095012
20000,crescente,heapSort,27,0.094489
20000,crescente,heapSort,28,0.094886
20000,crescente,heapSort,29,0.095076
20000,crescente,heapSort,30,0.097093
20000,crescente,cycleSort,1,3.589646
20000,crescente,cycleSort,2,2.243223
20000,crescente,cycleSort,3,2.273857
20000,crescente,cycleSort,4,2.228243
20000,crescente,cycleSort,5,2.224747
20000,crescente,cycleSort,6,2.271346
20000,crescente,cycleSort,7,2.243597
20000,crescente,cycleSort,8,2.261160
20000,crescente,cycleSort,9,2.276079
20000,crescente,cycleSort,10,2.248608
20000,crescente,cycleSort,11,2.246604
20000,crescente,cycleSort,12,2.241124
20000,crescente,cycleSort,13,2.240011
20000,crescente,cycleSort,14,2.273084
20000,crescente,cycleSort,15,2.256436
20000,crescente,cycleSort,16,2.312483
20000,crescente,cycleSort,17,2.255807
20000,crescente,cycleSort,18,2.239264
20000,crescente,cycleSort,19,2.242193
20000,crescente,cycleSort,20,2.380601
20000,crescente,cycleSort,21,2.279043
20000,crescente,cycleSort,22,2.273643
20000,crescente,cycleSort,23,2.294849
20000,crescente,cycleSort,24,2.289586
20000,crescente,cycleSort,25,2.287732
20000,crescente,cycleSort,26,2.301711
20000,crescente,cycleSort,27,2.256079
20000,crescente,cycleSort,28,2.243848
20000,crescente,cycleSort,29,2.238049
20000,crescente,cycleSort,30,2.259207
20000,decrescente,heapSort,1,0.042116
20000,decrescente,heapSort,2,0.042844
20000,decrescente,heapSort,3,0.042312
20000,decrescente,heapSort,4,0.042645
20000,decrescente,heapSort,5,0.042136
20000,decrescente,heapSort,6,0.041761
20000,decrescente,heapSort,7,0.042060
20000,decrescente,heapSort,8,0.041691
20000,decrescente,heapSort,9,0.042030
20000,decrescente,heapSort,10,0.041815
20000,decrescente,heapSort,11,0.042654
20000,decrescente,heapSort,12,0.041899
20000,decrescente,heapSort,13,0.041467
20000,decrescente,heapSort,14,0.042017
20000,decrescente,heapSort,15,0.042352
20000,decrescente,heapSort,16,0.042140
20000,decrescente,heapSort,17,0.043163
20000,decrescente,heapSort,18,0.041671
20000,decrescente,heapSort,19,0.042427
20000,decrescente,heapSort,20,0.041673
20000,decrescente,heapSort,21,0.042070
20000,decrescente,heapSort,22,0.043051
20000,decrescente,heapSort,23,0.041922
20000,decrescente,heapSort,24,0.041504
20000,decrescente,heapSort,25,0.044645
20000,decrescente,heapSort,26,0.043214
20000,decrescente,heapSort,27,0.042728
20000,decrescente,heapSort,28,0.041300
20000,decrescente,heapSort,29,0.041718
20000,decrescente,heapSort,30,0.041526
20000,decrescente,cycleSort,1,5.569285
20000,decrescente,cycleSort,2,5.551183
20000,decrescente,cycleSort,3,5.538653
20000,decrescente,cycleSort,4,5.548758
20000,decrescente,cycleSort,5,5.527657
20000,decrescente,cycleSort,6,5.573994
20000,decrescente,cycleSort,7,5.500782
20000,decrescente,cycleSort,8,5.505192
20000,decrescente,cycleSort,9,5.543393
20000,decrescente,cycleSort,10,5.522839
20000,decrescente,cycleSort,11,5.543200
20000,decrescente,cycleSort,12,5.596687
20000,decrescente,cycleSort,13,5.593079
20000,decrescente,cycleSort,14,5.525348
20000,decrescente,cycleSort,15,5.539684
20000,decrescente,cycleSort,16,5.531645
20000,decrescente,cycleSort,17,5.517937
20000,decrescente,cycleSort,18,5.534644
20000,decrescente,cycleSort,19,5.498682
20000,decrescente,cycleSort,20,5.504381
20000,decrescente,cycleSort,21,5.531479
20000,decrescente,cycleSort,22,5.524833
20000,decrescente,cycleSort,23,5.543293
20000,decrescente,cycleSort,24,5.510882
20000,decrescente,cycleSort,25,5.603154
20000,decrescente,cycleSort,26,5.604126
20000,decrescente,cycleSort,27,5.599139
20000,decrescente,cycleSort,28,5.718639
20000,decrescente,cycleSort,29,5.552648
20000,decrescente,cycleSort,30,5.556133
20000,aleatorio,heapSort,1,0.045516
20000,aleatorio,heapSort,2,0.045772
20000,aleatorio,heapSort,3,0.046224
20000,aleatorio,heapSort,4,0.047582
20000,aleatorio,heapSort,5,0.046476
20000,aleatorio,heapSort,6,0.054189
20000,aleatorio,heapSort,7,0.045123
20000,aleatorio,heapSort,8,0.044701
20000,aleatorio,heapSort,9,0.045227
20000,aleatorio,heapSort,10,0.044589
20000,aleatorio,heapSort,11,0.044790
20000,aleatorio,heapSort,12,0.044716
20000,aleatorio,heapSort,13,0.045687
20000,aleatorio,heapSort,14,0.045095
20000,aleatorio,heapSort,15,0.045184
20000,aleatorio,heapSort,16,0.045023
20000,aleatorio,heapSort,17,0.045314
20000,aleatorio,heapSort,18,0.045056
20000,aleatorio,heapSort,19,0.045158
20000,aleatorio,heapSort,20,0.045621
20000,aleatorio,heapSort,21,0.045138
20000,aleatorio,heapSort,22,0.044881
20000,aleatorio,heapSort,23,0.045116
20000,aleatorio,heapSort,24,0.046250
20000,aleatorio,heapSort,25,0.045713
20000,aleatorio,heapSort,26,0.046050
20000,aleatorio,heapSort,27,0.045985
20000,aleatorio,heapSort,28,0.045465
20000,aleatorio,heapSort,29,0.046136
20000,aleatorio,heapSort,30,0.046103
20000,aleatorio,cycleSort,1,11.485367
20000,aleatorio,cycleSort,2,11.588274
20000,aleatorio,cycleSort,3,11.491011
20000,aleatorio,cycleSort,4,11.834303
20000,aleatorio,cycleSort,5,11.815278
20000,aleatorio,cycleSort,6,11.869042
20000,aleatorio,cycleSort,7,11.535914
20000,aleatorio,cycleSort,8,11.495011
20000,aleatorio,cycleSort,9,11.509803
